"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Planciusbuurt-Noord";"       4"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Westelijke eilanden";"      30"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Westerdokseiland";"      22"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Planciusbuurt-Zuid";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Haarlemmerbuurt-West";"      46"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Haarlemmerbuurt-Oost";"      43"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Marnixbuurt-Noord";"      25"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Driehoekbuurt";"      32"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Anjeliersbuurt-Noord";"      42"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Zaagpoortbuurt";"      28"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Anjeliersbuurt-Zuid";"      34"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Marnixbuurt-Midden";"      11"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bloemgrachtbuurt";"      49"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Groenmarktkadebuurt";"       7"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Marnixbuurt-Zuid";"      23"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Elandsgrachtbuurt";"      68"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Passeerdersgrachtbuurt";"      11"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Langestraat e.o.";"      28"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Leliegracht e.o.";"      35"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Felix Meritisbuurt";"      55"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Leidsegracht-Noord";"      27"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Stationsplein e.o.";"     137"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Hemelrijk";"      27"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Nieuwendijk-Noord";"      34"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Spuistraat-Noord";"      40"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Nieuwe Kerk e.o.";"      19"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Spuistraat-Zuid";"      55"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Begijnhofbuurt";"      22"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Kalverdriehoek";"      44"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Kop Zeedijk";"      53"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Oude Kerk e.o.";"      80"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Burgwallen-Oost";"      38"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Nes e.o.";"      74"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"BG-terrein e.o.";"      21"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Oosterdokseiland";"      52"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Lastage";"      25"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Scheepvaarthuisbuurt";"      33"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Rapenburg";"      28"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Nieuwmarkt";"      38"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Uilenburg";"      24"
