"Soort misdrijf";"Plaatsen";"Perioden";"Geregistreerde misdrijven (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"Amsterdam";"2014";"   12017"
"1.2.3 Diefstal van brom-, snor-, fietsen";"Amsterdam";"2015";"   12667"
"1.2.3 Diefstal van brom-, snor-, fietsen";"Amsterdam";"2016";"   11504"
"1.2.3 Diefstal van brom-, snor-, fietsen";"Amsterdam";"2017";"   10769"
"1.2.3 Diefstal van brom-, snor-, fietsen";"Amsterdam";"2018";"   11271"
"1.2.3 Diefstal van brom-, snor-, fietsen";"Amsterdam";"2019";"   11241"
"1.2.3 Diefstal van brom-, snor-, fietsen";"Amsterdam";"2020";"   10292"
"1.2.3 Diefstal van brom-, snor-, fietsen";"Amsterdam";"2021";"    8106"
"1.2.3 Diefstal van brom-, snor-, fietsen";"Amsterdam";"2022";"   10771"
"1.2.3 Diefstal van brom-, snor-, fietsen";"Amsterdam";"2023";"   12230"
"1.2.3 Diefstal van brom-, snor-, fietsen";"Amsterdam";"2024";"   11875"
