"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Amsterdam";"   10378"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Amsterdam";"    8196"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Amsterdam";"   10854"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Amsterdam";"   12323"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Amsterdam";"   11987"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Haarlemmerbuurt";"     164"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Haarlemmerbuurt";"     102"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Haarlemmerbuurt";"     126"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Haarlemmerbuurt";"     181"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Haarlemmerbuurt";"     146"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Planciusbuurt-Noord";"       2"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Planciusbuurt-Noord";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Planciusbuurt-Noord";"       0"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Planciusbuurt-Noord";"       6"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Planciusbuurt-Noord";"       4"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Westelijke eilanden";"      33"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Westelijke eilanden";"      17"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Westelijke eilanden";"      20"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Westelijke eilanden";"      25"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Westelijke eilanden";"      30"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Westerdokseiland";"      31"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Westerdokseiland";"      16"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Westerdokseiland";"      20"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Westerdokseiland";"      38"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Westerdokseiland";"      22"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Planciusbuurt-Zuid";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Planciusbuurt-Zuid";"       2"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Planciusbuurt-Zuid";"       0"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Planciusbuurt-Zuid";"       3"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Planciusbuurt-Zuid";"       1"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Haarlemmerbuurt-West";"      53"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Haarlemmerbuurt-West";"      37"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Haarlemmerbuurt-West";"      54"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Haarlemmerbuurt-West";"      51"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Haarlemmerbuurt-West";"      46"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Haarlemmerbuurt-Oost";"      42"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Haarlemmerbuurt-Oost";"      29"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Haarlemmerbuurt-Oost";"      32"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Haarlemmerbuurt-Oost";"      58"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Haarlemmerbuurt-Oost";"      43"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Jordaan";"     323"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Jordaan";"     247"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Jordaan";"     402"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Jordaan";"     390"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Jordaan";"     330"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Marnixbuurt-Noord";"      15"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Marnixbuurt-Noord";"      16"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Marnixbuurt-Noord";"      22"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Marnixbuurt-Noord";"      30"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Marnixbuurt-Noord";"      25"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Driehoekbuurt";"      34"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Driehoekbuurt";"      27"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Driehoekbuurt";"      50"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Driehoekbuurt";"      49"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Driehoekbuurt";"      32"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Anjeliersbuurt-Noord";"      45"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Anjeliersbuurt-Noord";"      22"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Anjeliersbuurt-Noord";"      39"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Anjeliersbuurt-Noord";"      44"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Anjeliersbuurt-Noord";"      42"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Zaagpoortbuurt";"      19"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Zaagpoortbuurt";"      10"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Zaagpoortbuurt";"      28"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Zaagpoortbuurt";"      15"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Zaagpoortbuurt";"      28"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Anjeliersbuurt-Zuid";"      32"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Anjeliersbuurt-Zuid";"      44"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Anjeliersbuurt-Zuid";"      57"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Anjeliersbuurt-Zuid";"      44"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Anjeliersbuurt-Zuid";"      34"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Marnixbuurt-Midden";"       5"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Marnixbuurt-Midden";"      10"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Marnixbuurt-Midden";"      10"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Marnixbuurt-Midden";"       7"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Marnixbuurt-Midden";"      11"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Bloemgrachtbuurt";"      42"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Bloemgrachtbuurt";"      31"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Bloemgrachtbuurt";"      65"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2023";"Bloemgrachtbuurt";"      48"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2024";"Bloemgrachtbuurt";"      49"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Groenmarktkadebuurt";"      20"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Groenmarktkadebuurt";"      11"
